name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#LPC
军改无人机,SGB_Drone,,链戍集团军,flarelauncher_single,,550,125,50,,10,0,,150,75,75,40,90,55,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,
阿瑞斯,SGB_Ares,,链戍集团军,flarelauncher_fighter,,300,50,500,,100,0,,300,600,500,150,300,30,NONE,,0,0,0,,,1,1,,,
阿瑞斯[协同],SGB_Ares_Coop,,链戍集团军,flarelauncher_fighter,,250,80,500,,100,0,,220,600,500,150,300,30,NONE,,0,0,0,,,1,1,,,
阿瑞斯[制空],SGB_Ares_DogFight,,链戍集团军,SGB_HighSpeed_flarelauncher,,450,30,500,,100,0,,340,600,500,90,300,30,NONE,,0,0,0,,,1,1,,
阿瑞斯[打击],SGB_Ares_Assault,,链戍集团军,ammofeed,,400,50,500,,150,0,,250,600,500,150,300,30,OMNI,,360,0,1,,,1,1,,,
阿加莎,SGB_Agatha,,链戍集团军,flarelauncher_fighter,,700,80,80,,10,0,,200,400,350,90,180,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,
阿加莎[协同],SGB_Agatha_Coop,,链戍集团军,flarelauncher_fighter,,600,100,80,,10,0,,180,400,350,90,180,40,NONE,,0,0,0,,,2,2,,,,,
阿加莎[制空],SGB_Agatha_DogFight,,链戍集团军,SGB_HighSpeed_flarelauncher,,600,50,80,,10,0,,250,400,350,90,180,40,NONE,,0,0,0,,,2,2,,,,,
阿加莎[打击],SGB_Agatha_Assault,,链戍集团军,ammofeed,,500,100,600,,120,0,,200,400,350,90,100,40,OMNI,,160,0,1,
