id,type,text1,text2,text3,notes,Column 07
,,,,,,
#最新版本专属,,,,,,
SGB_station4,SHIP,"A space station designed inline with the carrier strike doctrine, and the revenge weapon of the Shackles Garrison - The Undefeatable Citidel possesses terrifying fighter projection abilities, and massive batteries of various kinetic weapon can place a huge flux pressure on all enemy ships, before the fighter swarm shread them all.

The ludicrous desing of this station was shocking: radical Shackle Garrison commanders wanted to use graviton sling to launch the station into the Hegemony capital, and use this as the forward base for their reprisal. However, given the cost and technological challenge involved, the plan was put on halt - but never fully rejected.

Now the platform serve as habitat, shipyard, factory and storage, able to project both military and industrial power within its orbit.",,,,
SGB_station4_ITS_MOVING,SHIP,"A space station designed inline with the carrier strike......By the dominion, why is it moving! Run for your lives! ",Only exists in theory.,Unknown Entry,,
SGB_Duplexing_ChainGun,WEAPON,"A retractable rapid fire cannon designed for assualt ships, thanks to its unique blowback mechanism, the weapon can be caliberated with each shot, and the excessive gas can be used to load the next shell - though this violent desing also means the weapon barrel will wear out after a few dozen shots, making this weapon a hot potato for logistic staffs. 
",,,,
SGB_Roller,WEAPON,"Originally a jury-rigged torpedo by the Shackle's Garrison - not recognized by the military and well known for being set off by any impact, the weapon was eventually stablized somewhat by the engineer corp. By ionizing massive amount of graviton and shoving it all into a torpedo rated as being stable for the engineering corp, this is what you get.

One of the moste hated design by logistic departments of the sector - regardless of whether they are maintaining this weapon or maintaining whatever got burned to a crisp because of this. 
",,,,
SGB_ArcFurnace,SHIP,"A mass produced assualt ship by the Shackles Garrison, its pair of chaingun can let out a terrifying volley in a short time to shread any armor, and give other ship and strikecraft an opening to deal damage. Given its relatively cheap cost and good performance, it can be found in many merc fleets. 
",,,,
SGB_Cupola,SHIP,"Bigger, harder, and more surivable super freighter. This fully militarized Cupola class is able to carry slightly more cargo than the Atlas, but has far superior protection when compared to its fragile counterpart. Even if caught in a fight, the Cupola's powerful base spec can invalidate harassment by most smaller ship. That said, it is only a matter of time for a civilian freighter to be destroyed by firepower of a large military vessal. ",,,,
SGB_Zircon,SHIP,"The Zicron class destroyer straddled the line between civilian and military use, with many arguing for its proper role. Though given the disabler torpedo and steady performance in combat, a sudden apperance by a Zicron in combat can often fry the expensive systems hidden behind the enemy hull.

A light and small destroyer, it is usually just a token representation of security for small civilian fleet, with mediocre performance. - Until a juri-rigged frontier weapon was mounted on it. ",,,,
SGB_Danburite,SHIP,"The name is imposing but serving on this ship is often considered a crappy assignment. It is only slightly better protected than some freighter - and that is accounting for all that side armor. Given the builtin cannon, the interior is almost hallowed out. Meaning the ship can be shallowed in an instant by most standardized explosive in the sector. Then again, this ship is dirt cheap and does not have a demanding logistic profile, making it a decent choose for fleet looking for fire support - but still terribly recieved by the crew.

The ship is not able to travel far on its own, so usually used as small firebase in fleet with some logistical abilities. 
",,,,
