id,type,text1,text2,text3,notes
,,,,,
#最新版本专属
SGB_station4,SHIP,"遵循打击学派设计风格的轨道站，链戍集团军的复仇兵器 - 不落要塞，其具备极端恐怖的舰载机投射能力，密集的搭载在空间站之上的大量动能武器将对一切敌人舰船快速施加巨量的幅能，随后赶到的机群将撕碎一切。

此空间站痴人说梦般的原定计划是令人惊愕的：链戍激进派设想依靠引力弹弓将整座空间站强行发射至霸主首都，并以此作为跳板进行报复。但由于其资金以及科研方面遭遇的大量问题，最终此方案被封存 - 但直到如今也并未被彻底否决。

这种平台具备造船厂、栖息地、工厂以及大量武器与物资储备，能在轨道影响范围内投射军事和工业力量。",,,
SGB_station4_ITS_MOVING,SHIP,"遵循打击学派设计风格的......人之领在上啊，这玩意怎么动起来了，快跑啊！",只存在于理论之中,未知条目,
SGB_Duplexing_ChainGun,WEAPON,一种专为突击舰船设计的可收纳型速射炮，得益于特殊的枪管导气冲程设计，多次弹头发射能够逐渐优化武器系统的自我调校，随后的废气会被用来重新填充下一枚弹药 - 但这种过于暴力的操作设计也会导致武器自身的枪管寿命在短短几十发后归零，也最终导致这种武器成为了所有后勤人员眼中和手中的 烫手山芋。
SGB_Roller,WEAPON,"原本是链戍作战部队的魔改鱼雷 - 作为不被军事部门所承认的一种武器，随时可能被撞击触发 曾是它的响亮名号，但在工程部介入后，这种武器就变成了一种相对稳定的设备。将大量重子物质高度离子化，然后简单粗暴的装载于一枚巨大的经过工程部认定的稳定鱼雷之上，你就得到了这个东西。

被全星域的后勤部门公认为星系间最该死的设计之一，尤其是维护方面 - 无论是维护这种武器，还是维护被这种武器烧焦的玩意。"
SGB_ArcFurnace,SHIP,"一种被 链戍集团军 所量产的突袭舰船，其携带的双工链炮能够在短时间内爆发出恐怖的输出，从而迅速撕裂敌方的护甲，并为后续的其他舰船和舰载机创造更有效的输出点位。因其市场价格相对廉价但表现优异，所以在许多佣兵舰队中都能见到他们的身影。",,,
SGB_Cupola,SHIP,"更大、更硬、生存能力更强大的超级货舰，这艘经过完全军事化设计的 冲天炉-级 的携货能力具备略胜于 阿特拉斯-级，但坚硬的防护能力远超过那脆弱的同僚，哪怕是不幸卷入战斗之中，冲天炉-级 那强大的基础性能也仍旧能够无效化大多试图骚扰的小型舰船 - 但一艘民用货船在面对大型舰船的火力直击时，何时被击毁也只是个时间问题。",,,
SGB_Zircon,SHIP,"皓石-级 驱逐舰一直在民用和军用间飘忽不定，其定位也众说纷纭，但得益于相对稳定的表现以及携带的瘫痪鱼雷，在战斗中突然冒出的皓石-级就能够让敌人那躲在舰体后的昂贵设备烧的一干二净。

一种小型的，轻盈的驱逐舰，很多时候只是被当作小型民用舰队防御上的面子工程，其性能一直算不上突出 - 直到一种由前线部队自行魔改的武器被列装于其上。",,,
SGB_Danburite,SHIP,"名字很响亮，但被派遣到这艘船上往往被认为是一件烂差事。这艘舰船的防护能力只略高于部分商船 - 这还是在有大量侧面装甲的情况下。由于内置了一门双工炮，舰船的内部几乎被镂空，而这也导致舰船那脆弱的框架会被任何星域中常见的炸药瞬间撕碎。但毕竟这艘舰船便宜无比，而且也没有巨大的船员和维护需求，对于需要协同火力的舰队而言反而是不错的选项 - 但仍旧在船员中有着骇人听闻的坏名声。

舰船自身几乎不具备自我远航能力，适合在具有一定后勤能力的舰队中充当小型火力艇来使用。",,,
